"code","group","article","description"
"B91","1","A52510","Sequelae of poliomyelitis"
"E74.02","1","A52510","Pompe disease"
"E74.05","1","A52510","Lysosome-associated membrane protein 2 (LAMP2) deficiency"
"G12.0","1","A52510","Infantile spinal muscular atrophy, type I (Werdnig-Hoffman)"
"G12.1","1","A52510","Other inherited spinal muscular atrophy"
"G12.20","1","A52510","Motor neuron disease, unspecified"
"G12.21","1","A52510","Amyotrophic lateral sclerosis"
"G12.22","1","A52510","Progressive bulbar palsy"
"G12.23","1","A52510","Primary lateral sclerosis"
"G12.24","1","A52510","Familial motor neuron disease"
"G12.25","1","A52510","Progressive spinal muscle atrophy"
"G12.29","1","A52510","Other motor neuron disease"
"G12.8","1","A52510","Other spinal muscular atrophies and related syndromes"
"G12.9","1","A52510","Spinal muscular atrophy, unspecified"
"G14","1","A52510","Postpolio syndrome"
"G35.A","1","A52510","Relapsing-remitting multiple sclerosis"
"G35.B0","1","A52510","Primary progressive multiple sclerosis, unspecified"
"G35.B1","1","A52510","Active primary progressive multiple sclerosis"
"G35.B2","1","A52510","Non-active primary progressive multiple sclerosis"
"G35.C0","1","A52510","Secondary progressive multiple sclerosis, unspecified"
"G35.C1","1","A52510","Active secondary progressive multiple sclerosis"
"G35.C2","1","A52510","Non-active secondary progressive multiple sclerosis"
"G35.D","1","A52510","Multiple sclerosis, unspecified"
"G70.00","1","A52510","Myasthenia gravis without (acute) exacerbation"
"G70.01","1","A52510","Myasthenia gravis with (acute) exacerbation"
"G71.00","1","A52510","Muscular dystrophy, unspecified"
"G71.01","1","A52510","Duchenne or Becker muscular dystrophy"
"G71.02","1","A52510","Facioscapulohumeral muscular dystrophy"
"G71.031","1","A52510","Autosomal dominant limb girdle muscular dystrophy"
"G71.032","1","A52510","Autosomal recessive limb girdle muscular dystrophy due to calpain-3 dysfunction"
"G71.033","1","A52510","Limb girdle muscular dystrophy due to dysferlin dysfunction"
"G71.0340","1","A52510","Limb girdle muscular dystrophy due to sarcoglycan dysfunction, unspecified"
"G71.0341","1","A52510","Limb girdle muscular dystrophy due to alpha sarcoglycan dysfunction"
"G71.0342","1","A52510","Limb girdle muscular dystrophy due to beta sarcoglycan dysfunction"
"G71.0349","1","A52510","Limb girdle muscular dystrophy due to other sarcoglycan dysfunction"
"G71.035","1","A52510","Limb girdle muscular dystrophy due to anoctamin-5 dysfunction"
"G71.036","1","A52510","Limb girdle muscular dystrophy due to fukutin related protein dysfunction"
"G71.038","1","A52510","Other limb girdle muscular dystrophy"
"G71.039","1","A52510","Limb girdle muscular dystrophy, unspecified"
"G71.09","1","A52510","Other specified muscular dystrophies"
"G71.11","1","A52510","Myotonic muscular dystrophy"
"G71.12","1","A52510","Myotonia congenita"
"G71.13","1","A52510","Myotonic chondrodystrophy"
"G71.14","1","A52510","Drug induced myotonia"
"G71.19","1","A52510","Other specified myotonic disorders"
"G71.20","1","A52510","Congenital myopathy, unspecified"
"G71.21","1","A52510","Nemaline myopathy"
"G71.220","1","A52510","X-linked myotubular myopathy"
"G71.228","1","A52510","Other centronuclear myopathy"
"G71.29","1","A52510","Other congenital myopathy"
"G71.3","1","A52510","Mitochondrial myopathy, not elsewhere classified"
"G71.8","1","A52510","Other primary disorders of muscles"
"G72.0","1","A52510","Drug-induced myopathy"
"G72.1","1","A52510","Alcoholic myopathy"
"G72.2","1","A52510","Myopathy due to other toxic agents"
"G72.41","1","A52510","Inclusion body myositis (IBM)"
"G72.49","1","A52510","Other inflammatory and immune myopathies, not elsewhere classified"
"G72.89","1","A52510","Other specified myopathies"
"G72.9","1","A52510","Myopathy, unspecified"
"G73.7","1","A52510","Myopathy in diseases classified elsewhere"
"G80.0","1","A52510","Spastic quadriplegic cerebral palsy"
"G82.50","1","A52510","Quadriplegia, unspecified"
"G82.51","1","A52510","Quadriplegia, C1-C4 complete"
"G82.52","1","A52510","Quadriplegia, C1-C4 incomplete"
"G82.53","1","A52510","Quadriplegia, C5-C7 complete"
"G82.54","1","A52510","Quadriplegia, C5-C7 incomplete"
"J98.6","1","A52510","Disorders of diaphragm"
"M33.02","1","A52510","Juvenile dermatomyositis with myopathy"
"M33.12","1","A52510","Other dermatomyositis with myopathy"
"M33.22","1","A52510","Polymyositis with myopathy"
"M33.92","1","A52510","Dermatopolymyositis, unspecified with myopathy"
"M34.82","1","A52510","Systemic sclerosis with myopathy"
"M35.03","1","A52510","Sjogren syndrome with myopathy"
