RateDescription,IssueAge,Gender,Tobacco,Rate
TermPremium,18,01,N,0.60
TermPremium,18,01,Y,1.38
TermPremium,18,02,N,0.49
TermPremium,18,02,Y,1.13
TermPremium,19,01,N,0.61
TermPremium,19,01,Y,1.41
TermPremium,19,02,N,0.50
TermPremium,19,02,Y,1.15
TermPremium,20,01,N,0.64
TermPremium,20,01,Y,1.46
TermPremium,20,02,N,0.52
TermPremium,20,02,Y,1.20
TermPremium,21,01,N,0.67
TermPremium,21,01,Y,1.54
TermPremium,21,02,N,0.55
TermPremium,21,02,Y,1.26
TermPremium,22,01,N,0.71
TermPremium,22,01,Y,1.63
TermPremium,22,02,N,0.58
TermPremium,22,02,Y,1.34
TermPremium,23,01,N,0.76
TermPremium,23,01,Y,1.74
TermPremium,23,02,N,0.62
TermPremium,23,02,Y,1.43
TermPremium,24,01,N,0.81
TermPremium,24,01,Y,1.87
TermPremium,24,02,N,0.66
TermPremium,24,02,Y,1.53
TermPremium,25,01,N,0.87
TermPremium,25,01,Y,2.00
TermPremium,25,02,N,0.71
TermPremium,25,02,Y,1.64
TermPremium,26,01,N,0.93
TermPremium,26,01,Y,2.15
TermPremium,26,02,N,0.77
TermPremium,26,02,Y,1.76
TermPremium,27,01,N,1.00
TermPremium,27,01,Y,2.31
TermPremium,27,02,N,0.82
TermPremium,27,02,Y,1.89
TermPremium,28,01,N,1.08
TermPremium,28,01,Y,2.48
TermPremium,28,02,N,0.88
TermPremium,28,02,Y,2.03
TermPremium,29,01,N,1.16
TermPremium,29,01,Y,2.66
TermPremium,29,02,N,0.95
TermPremium,29,02,Y,2.18
TermPremium,30,01,N,1.24
TermPremium,30,01,Y,2.85
TermPremium,30,02,N,1.02
TermPremium,30,02,Y,2.34
TermPremium,31,01,N,1.33
TermPremium,31,01,Y,3.05
TermPremium,31,02,N,1.09
TermPremium,31,02,Y,2.50
TermPremium,32,01,N,1.42
TermPremium,32,01,Y,3.26
TermPremium,32,02,N,1.16
TermPremium,32,02,Y,2.68
TermPremium,33,01,N,1.51
TermPremium,33,01,Y,3.48
TermPremium,33,02,N,1.24
TermPremium,33,02,Y,2.86
TermPremium,34,01,N,1.61
TermPremium,34,01,Y,3.71
TermPremium,34,02,N,1.32
TermPremium,34,02,Y,3.04
TermPremium,35,01,N,1.72
TermPremium,35,01,Y,3.95
TermPremium,35,02,N,1.41
TermPremium,35,02,Y,3.24
TermPremium,36,01,N,1.82
TermPremium,36,01,Y,4.19
TermPremium,36,02,N,1.50
TermPremium,36,02,Y,3.44
TermPremium,37,01,N,1.93
TermPremium,37,01,Y,4.45
TermPremium,37,02,N,1.59
TermPremium,37,02,Y,3.65
TermPremium,38,01,N,2.05
TermPremium,38,01,Y,4.71
TermPremium,38,02,N,1.68
TermPremium,38,02,Y,3.86
TermPremium,39,01,N,2.17
TermPremium,39,01,Y,4.98
TermPremium,39,02,N,1.78
TermPremium,39,02,Y,4.08
TermPremium,40,01,N,2.29
TermPremium,40,01,Y,5.26
TermPremium,40,02,N,1.88
TermPremium,40,02,Y,4.31
TermPremium,41,01,N,2.41
TermPremium,41,01,Y,5.55
TermPremium,41,02,N,1.98
TermPremium,41,02,Y,4.55
TermPremium,42,01,N,2.54
TermPremium,42,01,Y,5.84
TermPremium,42,02,N,2.08
TermPremium,42,02,Y,4.79
TermPremium,43,01,N,2.67
TermPremium,43,01,Y,6.14
TermPremium,43,02,N,2.19
TermPremium,43,02,Y,5.03
TermPremium,44,01,N,2.80
TermPremium,44,01,Y,6.45
TermPremium,44,02,N,2.30
TermPremium,44,02,Y,5.29
TermPremium,45,01,N,2.94
TermPremium,45,01,Y,6.76
TermPremium,45,02,N,2.41
TermPremium,45,02,Y,5.55
TermPremium,46,01,N,3.08
TermPremium,46,01,Y,7.09
TermPremium,46,02,N,2.53
TermPremium,46,02,Y,5.81
TermPremium,47,01,N,3.22
TermPremium,47,01,Y,7.42
TermPremium,47,02,N,2.64
TermPremium,47,02,Y,6.08
TermPremium,48,01,N,3.37
TermPremium,48,01,Y,7.75
TermPremium,48,02,N,2.76
TermPremium,48,02,Y,6.36
TermPremium,49,01,N,3.52
TermPremium,49,01,Y,8.10
TermPremium,49,02,N,2.89
TermPremium,49,02,Y,6.64
TermPremium,50,01,N,3.67
TermPremium,50,01,Y,8.45
TermPremium,50,02,N,3.01
TermPremium,50,02,Y,6.93
TermPremium,51,01,N,3.83
TermPremium,51,01,Y,8.80
TermPremium,51,02,N,3.14
TermPremium,51,02,Y,7.22
TermPremium,52,01,N,3.98
TermPremium,52,01,Y,9.17
TermPremium,52,02,N,3.27
TermPremium,52,02,Y,7.52
TermPremium,53,01,N,4.15
TermPremium,53,01,Y,9.53
TermPremium,53,02,N,3.40
TermPremium,53,02,Y,7.82
TermPremium,54,01,N,4.31
TermPremium,54,01,Y,9.91
TermPremium,54,02,N,3.53
TermPremium,54,02,Y,8.13
TermPremium,55,01,N,4.48
TermPremium,55,01,Y,10.29
TermPremium,55,02,N,3.67
TermPremium,55,02,Y,8.44
TermPremium,56,01,N,4.64
TermPremium,56,01,Y,10.68
TermPremium,56,02,N,3.81
TermPremium,56,02,Y,8.76
TermPremium,57,01,N,4.82
TermPremium,57,01,Y,11.08
TermPremium,57,02,N,3.95
TermPremium,57,02,Y,9.08
TermPremium,58,01,N,4.99
TermPremium,58,01,Y,11.48
TermPremium,58,02,N,4.09
TermPremium,58,02,Y,9.41
TermPremium,59,01,N,5.17
TermPremium,59,01,Y,11.88
TermPremium,59,02,N,4.24
TermPremium,59,02,Y,9.75
TermPremium,60,01,N,5.35
TermPremium,60,01,Y,12.30
TermPremium,60,02,N,4.38
TermPremium,60,02,Y,10.08
TermPremium,61,01,N,5.53
TermPremium,61,01,Y,12.72
TermPremium,61,02,N,4.53
TermPremium,61,02,Y,10.43
TermPremium,62,01,N,5.71
TermPremium,62,01,Y,13.14
TermPremium,62,02,N,4.68
TermPremium,62,02,Y,10.78
TermPremium,63,01,N,5.90
TermPremium,63,01,Y,13.57
TermPremium,63,02,N,4.84
TermPremium,63,02,Y,11.13
TermPremium,64,01,N,6.09
TermPremium,64,01,Y,14.01
TermPremium,64,02,N,4.99
TermPremium,64,02,Y,11.49
TermPremium,65,01,N,6.28
TermPremium,65,01,Y,14.45
TermPremium,65,02,N,5.15
TermPremium,65,02,Y,11.85
