issue age,gender,tobacco,rate
18,01,N,0.60
18,01,Y,1.38
18,02,N,0.49
18,02,Y,1.13
19,01,N,0.61
19,01,Y,1.41
19,02,N,0.50
19,02,Y,1.15
20,01,N,0.64
20,01,Y,1.46
20,02,N,0.52
20,02,Y,1.20
21,01,N,0.67
21,01,Y,1.54
21,02,N,0.55
21,02,Y,1.26
22,01,N,0.71
22,01,Y,1.63
22,02,N,0.58
22,02,Y,1.34
23,01,N,0.76
23,01,Y,1.74
23,02,N,0.62
23,02,Y,1.43
24,01,N,0.81
24,01,Y,1.87
24,02,N,0.66
24,02,Y,1.53
25,01,N,0.87
25,01,Y,2.00
25,02,N,0.71
25,02,Y,1.64
26,01,N,0.93
26,01,Y,2.15
26,02,N,0.77
26,02,Y,1.76
27,01,N,1.00
27,01,Y,2.31
27,02,N,0.82
27,02,Y,1.89
28,01,N,1.08
28,01,Y,2.48
28,02,N,0.88
28,02,Y,2.03
29,01,N,1.16
29,01,Y,2.66
29,02,N,0.95
29,02,Y,2.18
30,01,N,1.24
30,01,Y,2.85
30,02,N,1.02
30,02,Y,2.34
31,01,N,1.33
31,01,Y,3.05
31,02,N,1.09
31,02,Y,2.50
32,01,N,1.42
32,01,Y,3.26
32,02,N,1.16
32,02,Y,2.68
33,01,N,1.51
33,01,Y,3.48
33,02,N,1.24
33,02,Y,2.86
34,01,N,1.61
34,01,Y,3.71
34,02,N,1.32
34,02,Y,3.04
35,01,N,1.72
35,01,Y,3.95
35,02,N,1.41
35,02,Y,3.24
36,01,N,1.82
36,01,Y,4.19
36,02,N,1.50
36,02,Y,3.44
37,01,N,1.93
37,01,Y,4.45
37,02,N,1.59
37,02,Y,3.65
38,01,N,2.05
38,01,Y,4.71
38,02,N,1.68
38,02,Y,3.86
39,01,N,2.17
39,01,Y,4.98
39,02,N,1.78
39,02,Y,4.08
40,01,N,2.29
40,01,Y,5.26
40,02,N,1.88
40,02,Y,4.31
41,01,N,2.41
41,01,Y,5.55
41,02,N,1.98
41,02,Y,4.55
42,01,N,2.54
42,01,Y,5.84
42,02,N,2.08
42,02,Y,4.79
43,01,N,2.67
43,01,Y,6.14
43,02,N,2.19
43,02,Y,5.03
44,01,N,2.80
44,01,Y,6.45
44,02,N,2.30
44,02,Y,5.29
45,01,N,2.94
45,01,Y,6.76
45,02,N,2.41
45,02,Y,5.55
46,01,N,3.08
46,01,Y,7.09
46,02,N,2.53
46,02,Y,5.81
47,01,N,3.22
47,01,Y,7.42
47,02,N,2.64
47,02,Y,6.08
48,01,N,3.37
48,01,Y,7.75
48,02,N,2.76
48,02,Y,6.36
49,01,N,3.52
49,01,Y,8.10
49,02,N,2.89
49,02,Y,6.64
50,01,N,3.67
50,01,Y,8.45
50,02,N,3.01
50,02,Y,6.93
51,01,N,3.83
51,01,Y,8.80
51,02,N,3.14
51,02,Y,7.22
52,01,N,3.98
52,01,Y,9.17
52,02,N,3.27
52,02,Y,7.52
53,01,N,4.15
53,01,Y,9.53
53,02,N,3.40
53,02,Y,7.82
54,01,N,4.31
54,01,Y,9.91
54,02,N,3.53
54,02,Y,8.13
55,01,N,4.48
55,01,Y,10.29
55,02,N,3.67
55,02,Y,8.44
56,01,N,4.64
56,01,Y,10.68
56,02,N,3.81
56,02,Y,8.76
57,01,N,4.82
57,01,Y,11.08
57,02,N,3.95
57,02,Y,9.08
58,01,N,4.99
58,01,Y,11.48
58,02,N,4.09
58,02,Y,9.41
59,01,N,5.17
59,01,Y,11.88
59,02,N,4.24
59,02,Y,9.75
60,01,N,5.35
60,01,Y,12.30
60,02,N,4.38
60,02,Y,10.08
61,01,N,5.53
61,01,Y,12.72
61,02,N,4.53
61,02,Y,10.43
62,01,N,5.71
62,01,Y,13.14
62,02,N,4.68
62,02,Y,10.78
63,01,N,5.90
63,01,Y,13.57
63,02,N,4.84
63,02,Y,11.13
64,01,N,6.09
64,01,Y,14.01
64,02,N,4.99
64,02,Y,11.49
65,01,N,6.28
65,01,Y,14.45
65,02,N,5.15
65,02,Y,11.85
