key,en,pt,es,fr,it
indefinite_m,a,um,un,un,un
indefinite_f,a,uma,una,une,una
definite_m,the,o,el,le,il
definite_f,the,a,la,la,la
ordinal_2_m,second,segundo,segundo,deuxième,secondo
ordinal_2_f,second,segunda,segunda,deuxième,seconda
ordinal_3_m,third,terceiro,tercero,troisième,terzo
ordinal_3_f,third,terceira,tercera,troisième,terza
ordinal_4_m,fourth,quarto,cuarto,quatrième,quarto
ordinal_4_f,fourth,quarta,cuarta,quatrième,quarta
ordinal_5_m,fifth,quinto,quinto,cinquième,quinto
ordinal_5_f,fifth,quinta,quinta,cinquième,quinta
ordinal_6_m,sixth,sexto,sexto,sixième,sesto
ordinal_6_f,sixth,sexta,sexta,sixième,sesta
which_m,which,qual,cuál,quel,quale
which_f,which,qual,cuál,quelle,quale
feminine_endings,,a|ção|dade|gem,a|ción|dad|tud,e|ion|té,a|ione|tà
type_thing,thing,coisa,cosa,chose,cosa
type_number,number,número,número,nombre,numero
type_date,date,data,fecha,date,data
